Africa,Spring,High,Inland,Rainy,Normal
Africa,Winter,High,Inland,Rainy,Normal
Africa,Spring,Normal,Inland,Humid,Cold
Australia,Winter,Normal,Inland,Cloudy,Normal
Australia,Winter,Normal,Inland,Sunny,Hot
Africa,Autumn,Low,Coast Line,Humid,Normal
North America,Spring,Normal,Coast Line,Cloudy,Normal
Africa,Summer,High,Inland,Humid,Hot
North America,Spring,Low,Inland,Cloudy,Cold
North America,Summer,Normal,Inland,Humid,Hot
Africa,Winter,Low,Inland,Cloudy,Cold
North America,Autumn,High,Coast Line,Rainy,Normal
Africa,Summer,Normal,Coast Line,Cloudy,Normal
Africa,Autumn,High,Coast Line,Rainy,Normal
Africa,Winter,Low,Inland,Sunny,Normal
North America,Winter,High,Inland,Humid,Cold
North America,Spring,Low,Coast Line,Cloudy,Cold
Africa,Autumn,Normal,Coast Line,Sunny,Hot
Africa,Summer,Normal,Coast Line,Humid,Hot
North America,Summer,High,Coast Line,Humid,Hot
Australia,Winter,Low,Inland,Rainy,Cold
Africa,Winter,Normal,Coast Line,Cloudy,Cold
North America,Summer,Low,Coast Line,Sunny,Normal
North America,Autumn,High,Inland,Rainy,Normal
North America,Winter,Normal,Inland,Sunny,Cold
Africa,Summer,Normal,Inland,Rainy,Normal
North America,Winter,High,Coast Line,Rainy,Cold
Australia,Autumn,High,Coastline,Cloudy,Normal
North America,Summer,Low,Inland,Sunny,Normal
Africa,Spring,High,Inland,Humid,Normal
Africa,Winter,Normal,Coast Line,Rainy,Cold
Australia,Autumn,Normal,Coastline,Rainy,Cold
North America,Summer,High,Inland,Cloudy,Normal
North America,Winter,Normal,Inland,Humid,Cold
Australia,Autumn,Normal,Coastline,Humid,Cold
Africa,Autumn,High,Inland,Rainy,Normal
North America,Winter,Low,Inland,Rainy,Cold
Africa,Spring,Low,Inland,Humid,Cold
North America,Spring,High,Inland,Cloudy,Cold
Africa,Summer,High,Inland,Rainy,Normal
Africa,Winter,High,Inland,Sunny,Hot
Africa,Summer,Low,Coast Line,Sunny,Normal
North America,Summer,High,Inland,Rainy,Normal
Africa,Summer,High,Coast Line,Cloudy,Normal
Africa,Winter,Normal,Inland,Humid,Cold
Africa,Autumn,Low,Inland,Rainy,Cold
North America,Autumn,Low,Inland,Cloudy,Normal
Australia,Winter,High,Inland,Cloudy,Normal
North America,Spring,High,Inland,Rainy,Cold
North America,Winter,Low,Inland,Cloudy,Cold
Africa,Winter,Normal,Coast Line,Humid,Cold
North America,Summer,Low,Inland,Cloudy,Normal
Africa,Spring,Normal,Inland,Sunny,Normal
